rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,rollout/exploration_rate,time/episodes,time/total_timesteps,time/fps,train/n_updates,train/learning_rate,train/loss
-73.5,50.0,0,0.9990500000000001,4,200,16630,,,
-66.0,50.0,0,0.9981000000000002,8,400,17388,,,
-68.5,50.0,0,0.9971500000000003,12,600,18181,,,
-70.875,50.0,0,0.9962000000000004,16,800,19046,,,
-71.1,50.0,0,0.9952500000000005,20,1000,17230,,,
-72.25,50.0,0,0.9942999999999995,24,1200,8691,12,0.0001,1.8970296382904053
-73.5,50.0,0,0.9933499999999997,28,1400,7289,25,0.0001,2.646453619003296
-74.4375,50.0,0,0.9923999999999998,32,1600,6529,37,0.0001,1.7269954681396484
-74.66666666666667,50.0,0,0.9914499999999999,36,1800,5959,50,0.0001,2.5141069889068604
-74.85,50.0,0,0.9905,40,2000,5424,62,0.0001,1.8350639343261719
-75.13636363636364,50.0,0,0.9895500000000002,44,2200,5143,75,0.0001,2.152747869491577
-75.375,50.0,0,0.9886000000000003,48,2400,5013,87,0.0001,1.9859799146652222
-75.6923076923077,50.0,0,0.9876500000000004,52,2600,4862,100,0.0001,1.9775184392929077
-75.75,50.0,0,0.9867000000000004,56,2800,4739,112,0.0001,2.356285572052002
-76.2,50.0,0,0.9857500000000006,60,3000,4596,125,0.0001,2.615269184112549
-76.40625,50.0,0,0.9847999999999996,64,3200,4483,137,0.0001,2.246845245361328
-76.41176470588235,50.0,0,0.9838499999999997,68,3400,4399,150,0.0001,1.9790394306182861
-76.58333333333333,50.0,0,0.9828999999999998,72,3600,4323,162,0.0001,1.5873215198516846
-76.34210526315789,50.0,0,0.9819499999999999,76,3800,4256,175,0.0001,2.437108039855957
-76.5,50.0,0,0.981,80,4000,4229,187,0.0001,2.1136083602905273
-76.0,50.0,1,0.9800500000000001,84,4200,4186,200,0.0001,1.8709099292755127
-75.47727272727273,50.0,1,0.9791000000000002,88,4400,4173,212,0.0001,1.8489651679992676
-75.45652173913044,50.0,1,0.9781500000000003,92,4600,4136,225,0.0001,1.7104538679122925
