rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/exploration_rate,rollout/ep_rew_mean,time/fps,time/episodes,train/n_updates,train/learning_rate,train/loss
50.0,0,200,0.9990500000000001,-8.1,22163,4,,,
50.0,0,400,0.9981000000000002,-7.875,22222,8,,,
50.0,0,600,0.9971500000000003,-7.800000000000001,14633,12,,,
50.0,0,800,0.9962000000000004,-7.875,15687,16,,,
50.0,0,1000,0.9952500000000005,-7.919999999999999,15385,20,,,
50.0,0,1200,0.9942999999999995,-7.875,8419,24,12,0.0001,0.06893311440944672
50.0,0,1400,0.9933499999999997,-7.885714285714285,6895,28,25,0.0001,0.06383665651082993
50.0,0,1600,0.9923999999999998,-7.875,6115,32,37,0.0001,0.061720654368400574
50.0,0,1800,0.9914499999999999,-7.816666666666667,5605,36,50,0.0001,0.060438692569732666
50.0,0,2000,0.9905,-7.755,5029,40,62,0.0001,0.04791685938835144
50.0,0,2200,0.9895500000000002,-7.663636363636363,4797,44,75,0.0001,0.05522465705871582
50.0,0,2400,0.9886000000000003,-7.662499999999999,4686,48,87,0.0001,0.06847409904003143
50.0,0,2600,0.9876500000000004,-7.707692307692307,4466,52,100,0.0001,0.08174577355384827
50.0,0,2800,0.9867000000000004,-7.660714285714286,4380,56,112,0.0001,0.07905585318803787
50.0,0,3000,0.9857500000000006,-7.680000000000001,4289,60,125,0.0001,0.046883437782526016
50.0,0,3200,0.9847999999999996,-7.706250000000001,4247,64,137,0.0001,0.045298561453819275
50.0,0,3400,0.9838499999999997,-7.694117647058825,4182,68,150,0.0001,0.0455705001950264
50.0,0,3600,0.9828999999999998,-7.699999999999999,4152,72,162,0.0001,0.042145684361457825
50.0,0,3800,0.9819499999999999,-7.705263157894737,4105,76,175,0.0001,0.04809767007827759
50.0,0,4000,0.981,-7.6875,4071,80,187,0.0001,0.04834195598959923
50.0,1,4200,0.9800500000000001,-7.678571428571429,4042,84,200,0.0001,0.047475703060626984
50.0,1,4400,0.9791000000000002,-7.6909090909090905,4029,88,212,0.0001,0.042967624962329865
50.0,1,4600,0.9781500000000003,-7.689130434782609,3979,92,225,0.0001,0.051456063985824585
50.0,1,4800,0.9772000000000004,-7.693749999999999,3971,96,237,0.0001,0.043208085000514984
50.0,1,5000,0.9762500000000005,-7.673999999999999,3941,100,250,0.0001,0.03766804188489914
50.0,1,5200,0.9752999999999996,-7.668000000000001,3928,104,262,0.0001,0.04447794705629349
50.0,1,5400,0.9743499999999997,-7.638,3916,108,275,0.0001,0.04891791194677353
50.0,1,5600,0.9733999999999998,-7.638000000000001,3902,112,287,0.0001,0.052125368267297745
50.0,1,5800,0.9724499999999998,-7.62,3887,116,300,0.0001,0.03305209428071976
50.0,1,6000,0.9715,-7.614,3867,120,312,0.0001,0.030037546530365944
50.0,1,6200,0.9705500000000001,-7.553999999999999,3841,124,325,0.0001,0.03847694396972656
50.0,1,6400,0.9696000000000002,-7.53,3834,128,337,0.0001,0.044002145528793335
50.0,1,6600,0.9686500000000002,-7.506,3818,132,350,0.0001,0.03924879431724548
50.0,1,6800,0.9677000000000004,-7.506,3821,136,362,0.0001,0.025407159700989723
50.0,1,7000,0.9667500000000006,-7.53,3792,140,375,0.0001,0.028053799644112587
50.0,1,7200,0.9657999999999995,-7.5299999999999985,3787,144,387,0.0001,0.05086430907249451
50.0,1,7400,0.9648499999999997,-7.499999999999999,3779,148,400,0.0001,0.0451502799987793
50.0,2,7600,0.9638999999999998,-7.47,3778,152,412,0.0001,0.03273732215166092
