rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/fps,train/n_updates,train/value_loss,train/explained_variance,train/loss,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/approx_kl,train/clip_range
-75.9,1,50.0,0,1024,1848,,,,,,,,,,
-72.9,2,50.0,2,2048,827,10,903.6067226409912,0.002711355686187744,344.26739501953125,0.1173828125,-0.678216128051281,-0.013513773749582469,0.0003,0.018126532,0.2
-68.7,3,50.0,4,3072,724,20,733.5490760803223,0.0021438002586364746,296.7253723144531,0.0,-0.6634803272783756,-0.0005665605538524687,0.0003,0.0030620415,0.2
-66.075,4,50.0,5,4096,689,30,598.5141305923462,0.0012050271034240723,257.46331787109375,0.0,-0.662490114197135,-0.00029177468386478724,0.0003,0.0017907354,0.2
-62.28,5,50.0,7,5120,654,40,522.3829122543335,0.0005984902381896973,219.66702270507812,0.0982421875,-0.6370359640568495,-0.004139916558051482,0.0003,0.013814623,0.2
-53.94,6,50.0,9,6144,643,50,391.95626010894773,0.00012177228927612305,154.86009216308594,0.036328125,-0.5867002326995134,-0.0028110369108617305,0.0003,0.0055332985,0.2
-43.8,7,50.0,11,7168,638,60,307.84003057479856,0.00034874677658081055,121.23075103759766,0.10869140625,-0.5303763367235661,-0.0056389409757684915,0.0003,0.008598954,0.2
-27.65,8,50.1,12,8192,634,70,248.8041606903076,0.02538776397705078,97.27605438232422,0.09951171875,-0.4725441014394164,-0.007413209095830098,0.0003,0.0066188513,0.2
-10.49,9,50.1,14,9216,634,80,246.07160983085632,0.24144113063812256,81.69942474365234,0.06337890625,-0.4156841328367591,-0.006984872411703691,0.0003,0.004868298,0.2
6.23,10,50.47,16,10240,630,90,94.00992147922516,0.5297718644142151,30.470731735229492,0.10625,-0.3439894812181592,-0.013392393221147358,0.0003,0.004437033,0.2
21.37,11,50.58,17,11264,626,100,136.42837055921555,0.4213411211967468,38.36579132080078,0.066015625,-0.29046857059001924,-0.007123076048446819,0.0003,0.002632314,0.2
33.43,12,51.21,19,12288,626,110,132.43673255443574,0.24692922830581665,87.09845733642578,0.02939453125,-0.24702200423926116,-0.0026354727800935508,0.0003,0.0019294934,0.2
37.59,13,50.33,21,13312,627,120,167.1783992767334,0.48037540912628174,39.48444366455078,0.02705078125,-0.21383829619735478,-0.005325405698386021,0.0003,0.0014115348,0.2
44.87,14,51.22,22,14336,626,130,152.16245036125184,0.2241382598876953,49.58922576904297,0.02470703125,-0.24023566739633678,-0.0017876184603665024,0.0003,0.0014264423,0.2
49.27,15,51.57,24,15360,626,140,280.17772259712217,0.04013562202453613,72.1319351196289,0.0029296875,-0.2588468646630645,-0.0006506541831186041,0.0003,0.0007582233,0.2
49.23,16,51.53,26,16384,624,150,352.4912590026855,0.12665557861328125,211.68756103515625,0.00078125,-0.2535786648280919,-0.001182774020708166,0.0003,0.00050885195,0.2
51.15,17,51.5,28,17408,612,160,237.68280558586122,0.29468095302581787,71.77684783935547,0.0107421875,-0.26990099139511586,-0.0022622434451477604,0.0003,0.0011798954,0.2
56.41,18,52.8,30,18432,608,170,189.3373333930969,0.3229580521583557,178.54202270507812,0.01494140625,-0.22640094114467502,-0.001546028078882955,0.0003,0.001558025,0.2
59.12,19,53.53,31,19456,609,180,355.5946825027466,0.08085006475448608,238.08184814453125,0.0046875,-0.23937931321561337,-0.0007917303824797273,0.0003,0.0005093105,0.2
56.74,20,53.13,33,20480,607,190,519.3755010604858,0.04253494739532471,229.36282348632812,0.008203125,-0.2056427773088217,-0.0014470296795479954,0.0003,0.001126242,0.2
63.42,21,54.74,35,21504,605,200,314.1777791023254,0.06398898363113403,123.28086853027344,0.00185546875,-0.1977217157371342,-0.0007065257406793535,0.0003,0.00076239265,0.2
64.89,22,55.22,37,22528,604,210,550.2758032798768,0.02392345666885376,235.8230438232422,0.00751953125,-0.20806778371334075,-0.00021657318575307727,0.0003,0.0007991104,0.2
67.46,23,55.69,38,23552,604,220,272.1413514137268,0.20858508348464966,125.58943939208984,0.03212890625,-0.21366825625300406,-0.005347057624021545,0.0003,0.003079431,0.2
75.39,24,57.68,40,24576,603,230,481.8185876846313,0.02493840456008911,309.754150390625,0.01396484375,-0.20799592472612857,-0.0010569043923169374,0.0003,0.00065997243,0.2
72.28,25,57.54,42,25600,602,240,612.2310722351074,0.15665197372436523,248.30894470214844,0.0013671875,-0.20534916231408715,-0.0007595200149808079,0.0003,0.00076184265,0.2
81.09,26,59.42,44,26624,602,250,505.28347129821776,0.11623018980026245,188.31016540527344,0.02744140625,-0.15302592483349145,-0.0037559176678769292,0.0003,0.0020450111,0.2
