time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/clip_range,train/loss,train/clip_fraction,train/explained_variance,train/n_updates,train/entropy_loss,train/value_loss,train/policy_gradient_loss,train/learning_rate,train/approx_kl
0,1449,1024,-7.859999999999999,50.0,1,,,,,,,,,,
2,861,2048,-6.915000000000001,50.0,2,0.2,1.0310182571411133,0.041796875,0.014054656028747559,10,-0.6804038625210523,4.105915012955665,-0.006242389185354113,0.0003,0.018839257
3,774,3072,-5.929999999999999,50.0,3,0.2,0.6539420485496521,0.18359375,0.3392949104309082,20,-0.6346415650099516,2.035337256267667,-0.015308931504841894,0.0003,0.015933257
5,717,4096,-5.24375,49.7625,4,0.2,0.8968198895454407,0.13740234375,0.4396284818649292,30,-0.573425006866455,2.2727093055844305,-0.010574424522928894,0.0003,0.008880395
7,696,5120,-4.080000000000001,49.82,5,0.2,0.9975394606590271,0.1271484375,0.5691094994544983,40,-0.49664667434990406,2.143422244489193,-0.012338283867575229,0.0003,0.0070524295
8,683,6144,-2.1340000000000003,49.87,6,0.2,1.0723192691802979,0.11552734375,0.43021267652511597,50,-0.42687536776065826,2.162029290944338,-0.01464779013185762,0.0003,0.005538515
10,672,7168,-0.44200000000000017,49.51,7,0.2,0.6610335111618042,0.1080078125,0.49661922454833984,60,-0.3593799199908972,1.8220349535346032,-0.014866186113795265,0.0003,0.005095125
12,666,8192,1.332,49.49,8,0.2,0.6779675483703613,0.05986328125,0.3591100573539734,70,-0.29328569751232864,1.1844960775226354,-0.007222646166337654,0.0003,0.0034819627
14,657,9216,2.6549999999999994,49.73,9,0.2,0.22126388549804688,0.03505859375,0.09549885988235474,80,-0.22309852950274944,0.4294351052492857,-0.006434915203135461,0.0003,0.0061227605
15,653,10240,3.2479999999999984,49.9,10,0.2,0.19604554772377014,0.0302734375,0.6049643754959106,90,-0.22190051833167673,0.39613144751638174,-0.005627329344861209,0.0003,0.013281437
17,651,11264,3.773999999999999,50.75,11,0.2,0.02417043223977089,0.0107421875,0.8356789797544479,100,-0.21930722100660205,0.11807302059605718,2.711265697143972e-05,0.0003,0.0012741089
19,645,12288,4.099999999999999,51.19,12,0.2,0.07795212417840958,0.0169921875,0.8410556018352509,110,-0.20412021037191153,0.20764462971128522,-0.0011265830951742827,0.0003,0.0015670031
