timesteps,reward
4,[0.1 0.1 0.1 0.1]
8,[0.1 0.1 0.1 0.1]
12,[0.1 0.1 0.1 0.1]
16,[0.1 0.1 0.1 0.1]
20,[0.1 0.1 0.1 0.1]
24,[0.1 0.1 0.1 0.1]
28,[0.1 0.1 0.1 0.1]
32,[0.1 0.1 0.1 0.1]
36,[0.1 0.1 0.1 0.1]
40,[0.1 0.1 0.1 0.1]
44,[0.1 0.1 0.1 0.1]
48,[0.1 0.1 0.1 0.1]
52,[0.1 0.1 0.1 0.1]
56,[0.1 0.1 0.1 0.1]
60,[0.1 0.1 0.1 0.1]
64,[0.1 0.1 0.1 0.1]
68,[0.1 0.1 0.1 0.1]
72,[0.1 0.1 0.1 0.1]
76,[0.1 0.1 0.1 0.1]
80,[0.1 0.1 0.1 0.1]
84,[0.1 0.1 0.1 0.1]
88,[0.1 0.1 0.1 0.1]
92,[0.1 0.1 0.1 0.1]
96,[0.1 0.1 0.1 0.1]
100,[0.1 0.1 0.1 0.1]
104,[0.1 0.1 0.1 0.1]
108,[0.1 0.1 0.1 0.1]
112,[0.1 0.1 0.1 0.1]
116,[0.1 0.1 0.1 0.1]
120,[-0.5 -0.5  0.1 -0.5]
124,[-0.5 -0.5  0.1 -0.5]
128,[-0.5 -0.5 -0.5 -0.5]
132,[-0.5 -0.5 -0.5 -0.5]
136,[-0.5 -0.5 -0.5 -0.5]
140,[-0.5 -0.5 -0.5 -0.5]
144,[-0.5 -0.5 -0.5 -0.5]
148,[-0.5 -0.5 -0.5 -0.5]
152,[-0.5 -0.5 -0.5 -0.5]
156,[-0.5 -0.5 -0.5 -0.5]
160,[-0.5 -0.5 -0.5 -0.5]
164,[-0.5 -0.5 -0.5 -0.5]
168,[-0.5 -0.5 -0.5 -0.5]
172,[-0.5 -0.5 -0.5 -0.5]
176,[-0.5 -0.5 -0.5 -0.5]
180,[-0.5 -0.5 -0.5 -0.5]
184,[-0.5 -0.5 -0.5 -0.5]
188,[-0.5 -0.5 -0.5 -0.5]
192,[-0.5 -0.5 -0.5 -0.5]
196,[-0.5 -0.5 -0.5 -0.5]
200,[-1. -1. -1. -1.]
204,[0.1 0.1 0.1 0.1]
208,[0.1 0.1 0.1 0.1]
212,[0.1 0.1 0.1 0.1]
216,[0.1 0.1 0.1 0.1]
220,[0.1 0.1 0.1 0.1]
224,[0.1 0.1 0.1 0.1]
228,[0.1 0.1 0.1 0.1]
232,[0.1 0.1 0.1 0.1]
236,[0.1 0.1 0.1 0.1]
240,[0.1 0.1 0.1 0.1]
244,[0.1 0.1 0.1 0.1]
248,[0.1 0.1 0.1 0.1]
252,[0.1 0.1 0.1 0.1]
256,[0.1 0.1 0.1 0.1]
260,[0.1 0.1 0.1 0.1]
264,[0.1 0.1 0.1 0.1]
268,[0.1 0.1 0.1 0.1]
272,[0.1 0.1 0.1 0.1]
276,[0.1 0.1 0.1 0.1]
280,[0.1 0.1 0.1 0.1]
284,[0.1 0.1 0.1 0.1]
288,[0.1 0.1 0.1 0.1]
292,[0.1 0.1 0.1 0.1]
296,[0.1 0.1 0.1 0.1]
300,[0.1 0.1 0.1 0.1]
304,[0.1 0.1 0.1 0.1]
308,[0.1 0.1 0.1 0.1]
312,[0.1 0.1 0.1 0.1]
316,[ 0.1  0.1  0.1 -0.5]
320,[ 0.1  0.1  0.1 -0.5]
324,[-0.5 -0.5  0.1 -0.5]
328,[-0.5 -0.5  0.1 -0.5]
332,[-0.5 -0.5  0.1 -0.5]
336,[-0.5 -0.5 -0.5 -0.5]
340,[-0.5 -0.5 -0.5 -0.5]
344,[-0.5 -0.5 -0.5 -0.5]
348,[-0.5 -0.5 -0.5 -0.5]
352,[-0.5 -0.5 -0.5 -0.5]
356,[-0.5 -0.5 -0.5 -0.5]
360,[-0.5 -0.5 -0.5 -0.5]
364,[-0.5 -0.5 -0.5 -0.5]
368,[-0.5 -0.5 -0.5 -0.5]
372,[-0.5 -0.5 -0.5 -0.5]
376,[-0.5 -0.5 -0.5 -0.5]
380,[-0.5 -0.5 -0.5 -0.5]
384,[-0.5 -0.5 -0.5 -0.5]
388,[-0.5 -0.5 -0.5 -0.5]
392,[-0.5 -0.5 -0.5 -0.5]
396,[-0.5 -0.5 -0.5 -0.5]
400,[-1. -1. -1. -1.]
404,[0.1 0.1 0.1 0.1]
408,[0.1 0.1 0.1 0.1]
412,[0.1 0.1 0.1 0.1]
416,[0.1 0.1 0.1 0.1]
420,[0.1 0.1 0.1 0.1]
424,[0.1 0.1 0.1 0.1]
428,[0.1 0.1 0.1 0.1]
432,[0.1 0.1 0.1 0.1]
436,[0.1 0.1 0.1 0.1]
440,[0.1 0.1 0.1 0.1]
444,[0.1 0.1 0.1 0.1]
448,[0.1 0.1 0.1 0.1]
452,[0.1 0.1 0.1 0.1]
456,[0.1 0.1 0.1 0.1]
460,[0.1 0.1 0.1 0.1]
464,[0.1 0.1 0.1 0.1]
468,[0.1 0.1 0.1 0.1]
472,[0.1 0.1 0.1 0.1]
476,[0.1 0.1 0.1 0.1]
480,[0.1 0.1 0.1 0.1]
484,[0.1 0.1 0.1 0.1]
488,[0.1 0.1 0.1 0.1]
492,[0.1 0.1 0.1 0.1]
496,[0.1 0.1 0.1 0.1]
500,[0.1 0.1 0.1 0.1]
504,[0.1 0.1 0.1 0.1]
508,[0.1 0.1 0.1 0.1]
512,[0.1 0.1 0.1 0.1]
516,[ 0.1  0.1  0.1 -0.5]
520,[ 0.1  0.1  0.1 -0.5]
524,[ 0.1  0.1  0.1 -0.5]
528,[ 0.1 -0.5  0.1 -0.5]
532,[-0.5 -0.5 -0.5 -0.5]
536,[-0.5 -0.5 -0.5 -0.5]
540,[-0.5 -0.5 -0.5 -0.5]
544,[-0.5 -0.5 -0.5 -0.5]
548,[-0.5 -0.5 -0.5 -0.5]
552,[-0.5 -0.5 -0.5 -0.5]
556,[-0.5 -0.5 -0.5 -0.5]
560,[-0.5 -0.5 -0.5 -0.5]
564,[-0.5 -0.5 -0.5 -0.5]
568,[-0.5 -0.5 -0.5 -0.5]
572,[-0.5 -0.5 -0.5 -0.5]
576,[-0.5 -0.5 -0.5 -0.5]
580,[-0.5 -0.5 -0.5 -0.5]
584,[-0.5 -0.5 -0.5 -0.5]
588,[-0.5 -0.5 -0.5 -0.5]
592,[-0.5 -0.5 -0.5 -0.5]
596,[-0.5 -0.5 -0.5 -0.5]
600,[-1. -1. -1. -1.]
604,[0.1 0.1 0.1 0.1]
608,[0.1 0.1 0.1 0.1]
612,[0.1 0.1 0.1 0.1]
616,[0.1 0.1 0.1 0.1]
620,[0.1 0.1 0.1 0.1]
624,[0.1 0.1 0.1 0.1]
628,[0.1 0.1 0.1 0.1]
632,[0.1 0.1 0.1 0.1]
636,[0.1 0.1 0.1 0.1]
640,[0.1 0.1 0.1 0.1]
644,[0.1 0.1 0.1 0.1]
648,[0.1 0.1 0.1 0.1]
652,[0.1 0.1 0.1 0.1]
656,[0.1 0.1 0.1 0.1]
660,[0.1 0.1 0.1 0.1]
664,[0.1 0.1 0.1 0.1]
668,[0.1 0.1 0.1 0.1]
672,[0.1 0.1 0.1 0.1]
676,[0.1 0.1 0.1 0.1]
680,[0.1 0.1 0.1 0.1]
684,[0.1 0.1 0.1 0.1]
688,[0.1 0.1 0.1 0.1]
692,[0.1 0.1 0.1 0.1]
696,[0.1 0.1 0.1 0.1]
700,[0.1 0.1 0.1 0.1]
704,[0.1 0.1 0.1 0.1]
708,[0.1 0.1 0.1 0.1]
712,[0.1 0.1 0.1 0.1]
716,[0.1 0.1 0.1 0.1]
720,[0.1 0.1 0.1 0.1]
724,[ 0.1 -0.5  0.1  0.1]
728,[-0.5 -0.5 -0.5  0.1]
732,[-0.5 -0.5 -0.5 -0.5]
736,[-0.5 -0.5 -0.5 -0.5]
740,[-0.5 -0.5 -0.5 -0.5]
744,[-0.5 -0.5 -0.5 -0.5]
748,[-0.5 -0.5 -0.5 -0.5]
752,[-0.5 -0.5 -0.5 -0.5]
756,[-0.5 -0.5 -0.5 -0.5]
760,[-0.5 -0.5 -0.5 -0.5]
764,[-0.5 -0.5 -0.5 -0.5]
768,[-0.5 -0.5 -0.5 -0.5]
772,[-0.5 -0.5 -0.5 -0.5]
776,[-0.5 -0.5 -0.5 -0.5]
780,[-0.5 -0.5 -0.5 -0.5]
784,[-0.5 -0.5 -0.5 -0.5]
788,[-0.5 -0.5 -0.5 -0.5]
792,[-0.5 -0.5 -0.5 -0.5]
796,[-0.5 -0.5 -0.5 -0.5]
800,[-1. -1. -1. -1.]
804,[0.1 0.1 0.1 0.1]
808,[0.1 0.1 0.1 0.1]
812,[0.1 0.1 0.1 0.1]
816,[0.1 0.1 0.1 0.1]
820,[0.1 0.1 0.1 0.1]
824,[0.1 0.1 0.1 0.1]
828,[0.1 0.1 0.1 0.1]
832,[0.1 0.1 0.1 0.1]
836,[0.1 0.1 0.1 0.1]
840,[0.1 0.1 0.1 0.1]
844,[0.1 0.1 0.1 0.1]
848,[0.1 0.1 0.1 0.1]
852,[0.1 0.1 0.1 0.1]
856,[0.1 0.1 0.1 0.1]
860,[0.1 0.1 0.1 0.1]
864,[0.1 0.1 0.1 0.1]
868,[0.1 0.1 0.1 0.1]
872,[0.1 0.1 0.1 0.1]
876,[0.1 0.1 0.1 0.1]
880,[0.1 0.1 0.1 0.1]
884,[0.1 0.1 0.1 0.1]
888,[0.1 0.1 0.1 0.1]
892,[0.1 0.1 0.1 0.1]
896,[0.1 0.1 0.1 0.1]
900,[0.1 0.1 0.1 0.1]
904,[0.1 0.1 0.1 0.1]
908,[0.1 0.1 0.1 0.1]
912,[0.1 0.1 0.1 0.1]
916,[-0.5  0.1  0.1  0.1]
920,[-0.5 -0.5  0.1 -0.5]
924,[-0.5 -0.5  0.1 -0.5]
928,[-0.5 -0.5  0.1 -0.5]
932,[-0.5 -0.5 -0.5 -0.5]
936,[-0.5 -0.5 -0.5 -0.5]
940,[-0.5 -0.5 -0.5 -0.5]
944,[-0.5 -0.5 -0.5 -0.5]
948,[-0.5 -0.5 -0.5 -0.5]
952,[-0.5 -0.5 -0.5 -0.5]
956,[-0.5 -0.5 -0.5 -0.5]
960,[-0.5 -0.5 -0.5 -0.5]
964,[-0.5 -0.5 -0.5 -0.5]
968,[-0.5 -0.5 -0.5 -0.5]
972,[-0.5 -0.5 -0.5 -0.5]
976,[-0.5 -0.5 -0.5 -0.5]
980,[-0.5 -0.5 -0.5 -0.5]
984,[-0.5 -0.5 -0.5 -0.5]
988,[-0.5 -0.5 -0.5 -0.5]
992,[-0.5 -0.5 -0.5 -0.5]
996,[-0.5 -0.5 -0.5 -0.5]
1000,[-1. -1. -1. -1.]
1004,[0.1 0.1 0.1 0.1]
1008,[0.1 0.1 0.1 0.1]
1012,[0.1 0.1 0.1 0.1]
1016,[0.1 0.1 0.1 0.1]
1020,[0.1 0.1 0.1 0.1]
1024,[0.1 0.1 0.1 0.1]
1028,[0.1 0.1 0.1 0.1]
1032,[0.1 0.1 0.1 0.1]
1036,[0.1 0.1 0.1 0.1]
1040,[0.1 0.1 0.1 0.1]
1044,[0.1 0.1 0.1 0.1]
1048,[0.1 0.1 0.1 0.1]
1052,[0.1 0.1 0.1 0.1]
1056,[0.1 0.1 0.1 0.1]
1060,[0.1 0.1 0.1 0.1]
1064,[0.1 0.1 0.1 0.1]
1068,[0.1 0.1 0.1 0.1]
1072,[0.1 0.1 0.1 0.1]
1076,[0.1 0.1 0.1 0.1]
1080,[0.1 0.1 0.1 0.1]
1084,[0.1 0.1 0.1 0.1]
